"domainID","siteID","horizontalPosition","date","mean.parws","median.parws"
"D19","CARI","101",2018-08-06,120.629326388889,77.395
"D19","CARI","101",2018-08-07,244.479895833333,141.7
"D19","CARI","101",2018-08-08,228.474083333333,124.09
"D19","CARI","101",2018-08-09,368.118541666667,271.29
"D19","CARI","101",2018-08-10,301.741722222222,170.605
"D19","CARI","101",2018-08-11,379.344819444444,294.995
"D19","CARI","101",2018-08-12,212.815381944444,168.85
"D19","CARI","101",2018-08-13,237.316958333333,155.26
"D19","CARI","101",2018-08-14,153.201638888889,35.475
"D19","CARI","101",2018-08-15,153.660131944444,104.835
"D19","CARI","101",2018-08-16,178.107590277778,141.58
"D19","CARI","101",2018-08-17,84.6342040816327,27.23
"D19","CARI","101",2018-08-18,204.601944444444,70.99
"D19","CARI","101",2018-08-19,296.992111111111,234.545
"D19","CARI","101",2018-08-20,249.242541666667,136.755
"D19","CARI","101",2018-08-21,115.028027777778,100.835
"D19","CARI","101",2018-08-22,282.001840277778,90.16
"D19","CARI","101",2018-08-23,212.427083333333,70.85
"D19","CARI","101",2018-08-24,136.052277777778,78.1
"D19","CARI","101",2018-08-25,190.691604166667,80.69
"D19","CARI","101",2018-08-26,179.045770833333,120.755
"D19","CARI","101",2018-08-27,128.616715277778,67.92
"D19","CARI","101",2018-08-28,178.049104166667,48.495
"D19","CARI","101",2018-08-29,174.774652777778,87.03
"D19","CARI","101",2018-08-30,101.429921383648,15.055
"D19","CARI","101",2018-08-31,212.552201388889,67.835
"D19","CARI","101",2018-09-01,129.444743055556,59.59
"D19","CARI","101",2018-09-02,116.821770833333,19.335
"D19","CARI","101",2018-09-03,106.428201388889,44.835
"D19","CARI","101",2018-09-04,84.1550833333333,28.38
"D19","CARI","101",2018-09-05,116.3499375,21.425
"D19","CARI","101",2018-09-06,111.749208333333,19.785
"D19","CARI","101",2018-09-07,245.623756944444,52.175
"D19","CARI","101",2018-09-08,293.080201388889,58.88
"D19","CARI","101",2018-09-09,192.8486875,72.815
"D19","CARI","101",2018-09-10,243.678395833333,58.29
"D19","CARI","101",2018-09-11,237.268034722222,54.925
"D19","CARI","101",2018-09-12,126.155881533101,19.19
"D19","CARI","101",2018-09-13,148.075562700965,3.97
"D19","CARI","101",2018-09-14,265.583805555556,41.685
"D19","CARI","101",2018-09-15,153.322840277778,37.93
"D19","CARI","101",2018-09-16,102.510361111111,19.48
"D19","CARI","101",2018-09-17,187.083069444444,23.55
"D19","CARI","101",2018-09-18,157.080423611111,31.75
"D19","CARI","101",2018-09-19,101.720333333333,7.49
"D19","CARI","101",2018-09-20,112.760784722222,12.665
"D19","CARI","101",2018-09-21,126.560958333333,8.065
"D19","CARI","101",2018-09-22,76.1690555555556,5.985
"D19","CARI","101",2018-09-23,64.5194930555556,4.835
"D19","CARI","101",2018-09-24,74.4359722222222,6.105
"D19","CARI","101",2018-09-25,76.1990555555556,2.61
"D19","CARI","101",2018-09-26,90.8207569444444,3.04
"D19","CARI","101",2018-09-27,178.398701388889,6.195
"D19","CARI","101",2018-09-28,147.141321585903,0.78
"D19","CARI","101",2018-09-29,169.777020833333,4.45
"D19","CARI","101",2018-09-30,168.618756944444,3.01
"D19","CARI","101",2018-10-01,160.273506944444,2.595
"D19","CARI","101",2018-10-02,153.495152777778,1.4
"D19","CARI","101",2018-10-03,147.429993055556,1.065
"D19","CARI","101",2018-10-04,129.352784722222,0.77
"D19","CARI","101",2018-10-05,123.696451388889,0.37
"D19","CARI","101",2018-10-06,92.7459791666667,0.16
"D19","CARI","101",2018-10-07,122.809840277778,0.185
"D19","CARI","101",2018-10-08,114.397034722222,0.1
"D19","CARI","101",2018-10-09,105.624208333333,0.065
"D19","CARI","101",2018-10-10,37.2321388888889,0.04
"D19","CARI","101",2018-10-11,34.3233680555556,-0.01
"D19","CARI","101",2018-10-12,32.0052773246329,-0.02
"D19","CARI","101",2019-05-07,NA,NA
