"domainID","siteID","horizontalPosition","verticalPosition","startDateTime","endDateTime","wTemp","date","time"
"D04","CUPE","101","100",2019-09-26 17:40:00,2019-09-26 17:45:00,24.635,2019-09-26,"17:40:00"
"D04","CUPE","101","100",2019-09-26 17:45:00,2019-09-26 17:50:00,24.647,2019-09-26,"17:45:00"
"D04","CUPE","101","100",2019-09-26 17:50:00,2019-09-26 17:55:00,24.68,2019-09-26,"17:50:00"
"D04","CUPE","101","100",2019-09-26 17:55:00,2019-09-26 18:00:00,24.715,2019-09-26,"17:55:00"
"D04","CUPE","101","100",2019-09-26 18:00:00,2019-09-26 18:05:00,24.755,2019-09-26,"18:00:00"
"D04","CUPE","101","100",2019-09-26 18:05:00,2019-09-26 18:10:00,24.774,2019-09-26,"18:05:00"
"D04","CUPE","101","100",2019-09-26 18:10:00,2019-09-26 18:15:00,24.767,2019-09-26,"18:10:00"
"D04","CUPE","101","100",2019-09-26 18:15:00,2019-09-26 18:20:00,24.762,2019-09-26,"18:15:00"
"D04","CUPE","101","100",2019-09-26 18:20:00,2019-09-26 18:25:00,24.77,2019-09-26,"18:20:00"
"D04","CUPE","101","100",2019-09-26 18:25:00,2019-09-26 18:30:00,24.773,2019-09-26,"18:25:00"
"D04","CUPE","101","100",2019-09-26 18:30:00,2019-09-26 18:35:00,24.783,2019-09-26,"18:30:00"
"D04","CUPE","101","100",2019-09-30 17:30:00,2019-09-30 17:35:00,24.911,2019-09-30,"17:30:00"
"D04","CUPE","101","100",2019-09-30 17:35:00,2019-09-30 17:40:00,24.911,2019-09-30,"17:35:00"
"D04","CUPE","101","100",2019-09-30 17:40:00,2019-09-30 17:45:00,24.904,2019-09-30,"17:40:00"
"D04","CUPE","101","100",2019-09-30 17:45:00,2019-09-30 17:50:00,24.905,2019-09-30,"17:45:00"
"D04","CUPE","101","100",2019-09-30 17:50:00,2019-09-30 17:55:00,24.913,2019-09-30,"17:50:00"
"D04","CUPE","101","100",2019-09-30 17:55:00,2019-09-30 18:00:00,24.913,2019-09-30,"17:55:00"
"D04","CUPE","101","100",2019-09-30 18:00:00,2019-09-30 18:05:00,24.909,2019-09-30,"18:00:00"
"D04","CUPE","101","100",2019-09-30 18:05:00,2019-09-30 18:10:00,24.908,2019-09-30,"18:05:00"
"D04","CUPE","101","100",2019-09-30 18:10:00,2019-09-30 18:15:00,24.923,2019-09-30,"18:10:00"
"D04","CUPE","101","100",2019-09-30 18:15:00,2019-09-30 18:20:00,24.927,2019-09-30,"18:15:00"
"D04","CUPE","101","100",2019-09-30 18:20:00,2019-09-30 18:25:00,24.918,2019-09-30,"18:20:00"
"D04","CUPE","101","100",2019-09-30 18:25:00,2019-09-30 18:30:00,24.895,2019-09-30,"18:25:00"
"D04","CUPE","101","100",2019-09-30 18:30:00,2019-09-30 18:35:00,24.867,2019-09-30,"18:30:00"
"D04","CUPE","102","100",2019-09-16 17:30:00,2019-09-16 17:35:00,25.128,2019-09-16,"17:30:00"
"D04","CUPE","102","100",2019-09-16 17:35:00,2019-09-16 17:40:00,25.105,2019-09-16,"17:35:00"
"D04","CUPE","102","100",2019-09-16 17:40:00,2019-09-16 17:45:00,25.091,2019-09-16,"17:40:00"
"D04","CUPE","102","100",2019-09-16 17:45:00,2019-09-16 17:50:00,25.066,2019-09-16,"17:45:00"
"D04","CUPE","102","100",2019-09-16 17:50:00,2019-09-16 17:55:00,25.045,2019-09-16,"17:50:00"
"D04","CUPE","102","100",2019-09-16 17:55:00,2019-09-16 18:00:00,25.027,2019-09-16,"17:55:00"
"D04","CUPE","102","100",2019-09-16 18:00:00,2019-09-16 18:05:00,25.003,2019-09-16,"18:00:00"
"D04","CUPE","102","100",2019-09-16 18:05:00,2019-09-16 18:10:00,24.986,2019-09-16,"18:05:00"
"D04","CUPE","102","100",2019-09-16 18:10:00,2019-09-16 18:15:00,24.987,2019-09-16,"18:10:00"
"D04","CUPE","102","100",2019-09-16 18:15:00,2019-09-16 18:20:00,25.001,2019-09-16,"18:15:00"
"D04","CUPE","102","100",2019-09-16 18:20:00,2019-09-16 18:25:00,25,2019-09-16,"18:20:00"
"D04","CUPE","102","100",2019-09-16 18:25:00,2019-09-16 18:30:00,24.984,2019-09-16,"18:25:00"
"D04","CUPE","102","100",2019-09-16 18:30:00,2019-09-16 18:35:00,24.954,2019-09-16,"18:30:00"
"D04","CUPE","102","100",2019-09-17 17:30:00,2019-09-17 17:35:00,24.241,2019-09-17,"17:30:00"
"D04","CUPE","102","100",2019-09-17 17:35:00,2019-09-17 17:40:00,24.241,2019-09-17,"17:35:00"
"D04","CUPE","102","100",2019-09-17 17:40:00,2019-09-17 17:45:00,24.244,2019-09-17,"17:40:00"
"D04","CUPE","102","100",2019-09-17 17:45:00,2019-09-17 17:50:00,24.246,2019-09-17,"17:45:00"
"D04","CUPE","102","100",2019-09-17 17:50:00,2019-09-17 17:55:00,24.249,2019-09-17,"17:50:00"
"D04","CUPE","102","100",2019-09-17 17:55:00,2019-09-17 18:00:00,24.251,2019-09-17,"17:55:00"
"D04","CUPE","102","100",2019-09-17 18:00:00,2019-09-17 18:05:00,24.249,2019-09-17,"18:00:00"
"D04","CUPE","102","100",2019-09-17 18:05:00,2019-09-17 18:10:00,24.248,2019-09-17,"18:05:00"
"D04","CUPE","102","100",2019-09-17 18:10:00,2019-09-17 18:15:00,24.249,2019-09-17,"18:10:00"
"D04","CUPE","102","100",2019-09-17 18:15:00,2019-09-17 18:20:00,24.249,2019-09-17,"18:15:00"
"D04","CUPE","102","100",2019-09-17 18:20:00,2019-09-17 18:25:00,24.251,2019-09-17,"18:20:00"
"D04","CUPE","102","100",2019-09-17 18:25:00,2019-09-17 18:30:00,24.252,2019-09-17,"18:25:00"
"D04","CUPE","102","100",2019-09-17 18:30:00,2019-09-17 18:35:00,24.253,2019-09-17,"18:30:00"
"D04","CUPE","102","100",2019-09-23 17:30:00,2019-09-23 17:35:00,25.592,2019-09-23,"17:30:00"
"D04","CUPE","102","100",2019-09-23 17:35:00,2019-09-23 17:40:00,25.626,2019-09-23,"17:35:00"
"D04","CUPE","102","100",2019-09-23 17:40:00,2019-09-23 17:45:00,25.651,2019-09-23,"17:40:00"
"D04","CUPE","102","100",2019-09-23 17:45:00,2019-09-23 17:50:00,25.671,2019-09-23,"17:45:00"
"D04","CUPE","102","100",2019-09-23 17:50:00,2019-09-23 17:55:00,25.69,2019-09-23,"17:50:00"
"D04","CUPE","102","100",2019-09-23 17:55:00,2019-09-23 18:00:00,25.708,2019-09-23,"17:55:00"
"D04","CUPE","102","100",2019-09-23 18:00:00,2019-09-23 18:05:00,25.719,2019-09-23,"18:00:00"
"D04","CUPE","102","100",2019-09-23 18:05:00,2019-09-23 18:10:00,25.729,2019-09-23,"18:05:00"
"D04","CUPE","102","100",2019-09-23 18:10:00,2019-09-23 18:15:00,25.737,2019-09-23,"18:10:00"
"D04","CUPE","102","100",2019-09-23 18:15:00,2019-09-23 18:20:00,25.744,2019-09-23,"18:15:00"
"D04","CUPE","102","100",2019-09-23 18:20:00,2019-09-23 18:25:00,25.752,2019-09-23,"18:20:00"
"D04","CUPE","102","100",2019-09-23 18:25:00,2019-09-23 18:30:00,25.756,2019-09-23,"18:25:00"
"D04","CUPE","102","100",2019-09-23 18:30:00,2019-09-23 18:35:00,25.757,2019-09-23,"18:30:00"
"D04","CUPE","102","100",2019-09-24 17:30:00,2019-09-24 17:35:00,25.132,2019-09-24,"17:30:00"
"D04","CUPE","102","100",2019-09-24 17:35:00,2019-09-24 17:40:00,25.123,2019-09-24,"17:35:00"
"D04","CUPE","102","100",2019-09-24 17:40:00,2019-09-24 17:45:00,25.118,2019-09-24,"17:40:00"
"D04","CUPE","102","100",2019-09-24 17:45:00,2019-09-24 17:50:00,25.11,2019-09-24,"17:45:00"
"D04","CUPE","102","100",2019-09-24 17:50:00,2019-09-24 17:55:00,25.1,2019-09-24,"17:50:00"
"D04","CUPE","102","100",2019-09-24 17:55:00,2019-09-24 18:00:00,25.091,2019-09-24,"17:55:00"
"D04","CUPE","102","100",2019-09-24 18:00:00,2019-09-24 18:05:00,25.079,2019-09-24,"18:00:00"
"D04","CUPE","102","100",2019-09-24 18:05:00,2019-09-24 18:10:00,25.064,2019-09-24,"18:05:00"
"D04","CUPE","102","100",2019-09-24 18:10:00,2019-09-24 18:15:00,25.05,2019-09-24,"18:10:00"
"D04","CUPE","102","100",2019-09-24 18:15:00,2019-09-24 18:20:00,25.035,2019-09-24,"18:15:00"
"D04","CUPE","102","100",2019-09-24 18:20:00,2019-09-24 18:25:00,25.022,2019-09-24,"18:20:00"
"D04","CUPE","102","100",2019-09-24 18:25:00,2019-09-24 18:30:00,25.009,2019-09-24,"18:25:00"
"D04","CUPE","102","100",2019-09-24 18:30:00,2019-09-24 18:35:00,24.998,2019-09-24,"18:30:00"
"D04","CUPE","102","100",2019-09-26 17:30:00,2019-09-26 17:35:00,24.518,2019-09-26,"17:30:00"
"D04","CUPE","102","100",2019-09-26 17:35:00,2019-09-26 17:40:00,24.525,2019-09-26,"17:35:00"
"D04","CUPE","102","100",2019-09-26 17:40:00,2019-09-26 17:45:00,24.557,2019-09-26,"17:40:00"
"D04","CUPE","102","100",2019-09-26 17:45:00,2019-09-26 17:50:00,24.568,2019-09-26,"17:45:00"
"D04","CUPE","102","100",2019-09-26 17:50:00,2019-09-26 17:55:00,24.61,2019-09-26,"17:50:00"
"D04","CUPE","102","100",2019-09-26 17:55:00,2019-09-26 18:00:00,24.635,2019-09-26,"17:55:00"
"D04","CUPE","102","100",2019-09-26 18:00:00,2019-09-26 18:05:00,24.652,2019-09-26,"18:00:00"
"D04","CUPE","102","100",2019-09-26 18:05:00,2019-09-26 18:10:00,24.658,2019-09-26,"18:05:00"
"D04","CUPE","102","100",2019-09-26 18:10:00,2019-09-26 18:15:00,24.667,2019-09-26,"18:10:00"
"D04","CUPE","102","100",2019-09-26 18:15:00,2019-09-26 18:20:00,24.686,2019-09-26,"18:15:00"
"D04","CUPE","102","100",2019-09-26 18:20:00,2019-09-26 18:25:00,24.68,2019-09-26,"18:20:00"
"D04","CUPE","102","100",2019-09-26 18:25:00,2019-09-26 18:30:00,24.695,2019-09-26,"18:25:00"
"D04","CUPE","102","100",2019-09-26 18:30:00,2019-09-26 18:35:00,24.717,2019-09-26,"18:30:00"
"D04","CUPE","102","100",2019-09-30 17:30:00,2019-09-30 17:35:00,24.732,2019-09-30,"17:30:00"
"D04","CUPE","102","100",2019-09-30 17:35:00,2019-09-30 17:40:00,24.737,2019-09-30,"17:35:00"
"D04","CUPE","102","100",2019-09-30 17:40:00,2019-09-30 17:45:00,24.764,2019-09-30,"17:40:00"
"D04","CUPE","102","100",2019-09-30 17:45:00,2019-09-30 17:50:00,24.773,2019-09-30,"17:45:00"
"D04","CUPE","102","100",2019-09-30 17:50:00,2019-09-30 17:55:00,24.78,2019-09-30,"17:50:00"
"D04","CUPE","102","100",2019-09-30 17:55:00,2019-09-30 18:00:00,24.778,2019-09-30,"17:55:00"
"D04","CUPE","102","100",2019-09-30 18:00:00,2019-09-30 18:05:00,24.772,2019-09-30,"18:00:00"
"D04","CUPE","102","100",2019-09-30 18:05:00,2019-09-30 18:10:00,24.79,2019-09-30,"18:05:00"
"D04","CUPE","102","100",2019-09-30 18:10:00,2019-09-30 18:15:00,24.815,2019-09-30,"18:10:00"
"D04","CUPE","102","100",2019-09-30 18:15:00,2019-09-30 18:20:00,24.812,2019-09-30,"18:15:00"
"D04","CUPE","102","100",2019-09-30 18:20:00,2019-09-30 18:25:00,24.794,2019-09-30,"18:20:00"
"D04","CUPE","102","100",2019-09-30 18:25:00,2019-09-30 18:30:00,24.77,2019-09-30,"18:25:00"
"D04","CUPE","102","100",2019-09-30 18:30:00,2019-09-30 18:35:00,24.747,2019-09-30,"18:30:00"
"D04","CUPE","101","100",2019-10-01 17:30:00,2019-10-01 17:35:00,25.318,2019-10-01,"17:30:00"
"D04","CUPE","101","100",2019-10-01 17:35:00,2019-10-01 17:40:00,25.339,2019-10-01,"17:35:00"
"D04","CUPE","101","100",2019-10-01 17:40:00,2019-10-01 17:45:00,25.354,2019-10-01,"17:40:00"
