"domainID","siteID","horizontalPosition","verticalPosition","startDateTime","endDateTime","DO","pH","turb","date","time"
"D01","HOPB","102","100",2019-09-16 18:10:30,2019-09-16 18:10:30,9.4,7.13,0.8,2019-09-16,"18:10:30"
"D01","HOPB","102","100",2019-09-16 18:11:30,2019-09-16 18:11:30,9.39,7.13,0.76,2019-09-16,"18:11:30"
"D01","HOPB","102","100",2019-09-16 18:12:30,2019-09-16 18:12:30,9.39,7.13,0.76,2019-09-16,"18:12:30"
"D01","HOPB","102","100",2019-09-16 18:13:30,2019-09-16 18:13:30,9.4,7.13,0.82,2019-09-16,"18:13:30"
"D01","HOPB","102","100",2019-09-16 18:14:30,2019-09-16 18:14:30,9.39,7.13,0.79,2019-09-16,"18:14:30"
"D01","HOPB","102","100",2019-09-16 18:15:30,2019-09-16 18:15:30,9.39,7.13,0.87,2019-09-16,"18:15:30"
"D01","HOPB","102","100",2019-09-16 18:16:30,2019-09-16 18:16:30,9.38,7.13,0.85,2019-09-16,"18:16:30"
"D01","HOPB","102","100",2019-09-16 18:17:30,2019-09-16 18:17:30,9.38,7.13,0.85,2019-09-16,"18:17:30"
"D01","HOPB","102","100",2019-09-16 18:18:30,2019-09-16 18:18:30,9.39,7.13,0.8,2019-09-16,"18:18:30"
"D01","HOPB","102","100",2019-09-16 18:19:30,2019-09-16 18:19:30,9.38,7.13,0.81,2019-09-16,"18:19:30"
"D01","HOPB","102","100",2019-09-16 18:20:30,2019-09-16 18:20:30,9.39,7.13,0.81,2019-09-16,"18:20:30"
"D01","HOPB","102","100",2019-09-16 18:21:30,2019-09-16 18:21:30,9.38,7.13,0.81,2019-09-16,"18:21:30"
"D01","HOPB","102","100",2019-09-16 18:22:30,2019-09-16 18:22:30,9.38,7.13,0.81,2019-09-16,"18:22:30"
"D01","HOPB","102","100",2019-09-16 18:23:30,2019-09-16 18:23:30,9.38,7.13,0.77,2019-09-16,"18:23:30"
"D01","HOPB","102","100",2019-09-16 18:24:30,2019-09-16 18:24:30,9.38,7.13,0.79,2019-09-16,"18:24:30"
"D01","HOPB","102","100",2019-09-16 18:25:30,2019-09-16 18:25:30,9.38,7.13,0.77,2019-09-16,"18:25:30"
"D01","HOPB","102","100",2019-09-16 18:26:30,2019-09-16 18:26:30,9.38,7.13,0.8,2019-09-16,"18:26:30"
"D01","HOPB","102","100",2019-09-16 18:27:30,2019-09-16 18:27:30,9.38,7.13,0.8,2019-09-16,"18:27:30"
"D01","HOPB","102","100",2019-09-16 18:28:30,2019-09-16 18:28:30,9.38,7.13,0.86,2019-09-16,"18:28:30"
"D01","HOPB","102","100",2019-09-16 18:29:30,2019-09-16 18:29:30,9.37,7.12,0.81,2019-09-16,"18:29:30"
"D01","HOPB","102","100",2019-09-16 18:30:30,2019-09-16 18:30:30,9.37,7.12,0.78,2019-09-16,"18:30:30"
"D01","HOPB","102","100",2019-09-17 17:29:30,2019-09-17 17:29:30,9.9,7.14,0.86,2019-09-17,"17:29:30"
"D01","HOPB","102","100",2019-09-17 17:30:30,2019-09-17 17:30:30,9.9,7.14,0.9,2019-09-17,"17:30:30"
"D01","HOPB","102","100",2019-09-17 17:31:30,2019-09-17 17:31:30,9.89,7.14,0.87,2019-09-17,"17:31:30"
"D01","HOPB","102","100",2019-09-17 17:32:30,2019-09-17 17:32:30,9.89,7.14,0.87,2019-09-17,"17:32:30"
"D01","HOPB","102","100",2019-09-17 17:33:30,2019-09-17 17:33:30,9.89,7.14,0.9,2019-09-17,"17:33:30"
"D01","HOPB","102","100",2019-09-17 17:34:30,2019-09-17 17:34:30,9.88,7.14,0.9,2019-09-17,"17:34:30"
"D01","HOPB","102","100",2019-09-17 17:35:30,2019-09-17 17:35:30,9.87,7.14,0.85,2019-09-17,"17:35:30"
"D01","HOPB","102","100",2019-09-17 17:36:30,2019-09-17 17:36:30,9.87,7.14,0.84,2019-09-17,"17:36:30"
"D01","HOPB","102","100",2019-09-17 17:37:30,2019-09-17 17:37:30,9.87,7.14,0.86,2019-09-17,"17:37:30"
"D01","HOPB","102","100",2019-09-17 17:38:30,2019-09-17 17:38:30,9.88,7.14,0.88,2019-09-17,"17:38:30"
"D01","HOPB","102","100",2019-09-17 17:39:30,2019-09-17 17:39:30,9.87,7.14,0.89,2019-09-17,"17:39:30"
"D01","HOPB","102","100",2019-09-17 17:40:30,2019-09-17 17:40:30,9.88,7.14,0.85,2019-09-17,"17:40:30"
"D01","HOPB","102","100",2019-09-17 17:41:30,2019-09-17 17:41:30,9.87,7.14,0.84,2019-09-17,"17:41:30"
"D01","HOPB","102","100",2019-09-17 17:42:30,2019-09-17 17:42:30,9.87,7.14,0.83,2019-09-17,"17:42:30"
"D01","HOPB","102","100",2019-09-17 17:43:30,2019-09-17 17:43:30,9.88,7.14,0.87,2019-09-17,"17:43:30"
"D01","HOPB","102","100",2019-09-17 17:44:30,2019-09-17 17:44:30,9.87,7.14,0.87,2019-09-17,"17:44:30"
"D01","HOPB","102","100",2019-09-17 17:45:30,2019-09-17 17:45:30,9.87,7.14,0.86,2019-09-17,"17:45:30"
"D01","HOPB","102","100",2019-09-17 17:46:30,2019-09-17 17:46:30,9.87,7.13,0.9,2019-09-17,"17:46:30"
"D01","HOPB","102","100",2019-09-17 17:47:30,2019-09-17 17:47:30,9.87,7.13,0.9,2019-09-17,"17:47:30"
"D01","HOPB","102","100",2019-09-17 17:48:30,2019-09-17 17:48:30,9.86,7.14,0.89,2019-09-17,"17:48:30"
"D01","HOPB","102","100",2019-09-17 17:49:30,2019-09-17 17:49:30,9.85,7.14,0.86,2019-09-17,"17:49:30"
