"date","DO","siteID"
2019-09-17,9.87,"HOPB"
2019-09-17,9.87,"HOPB"
2019-09-17,9.86,"HOPB"
2019-09-17,9.85,"HOPB"
2019-09-17,9.84,"HOPB"
2019-09-17,9.83,"HOPB"
2019-09-17,9.83,"HOPB"
2019-09-17,9.83,"HOPB"
2019-09-17,9.83,"HOPB"
2019-09-17,9.84,"HOPB"
2019-09-17,9.84,"HOPB"
2019-09-17,9.84,"HOPB"
2019-09-17,9.83,"HOPB"
2019-09-17,9.83,"HOPB"
2019-09-17,9.83,"HOPB"
2019-09-17,9.83,"HOPB"
2019-09-17,9.83,"HOPB"
2019-09-17,9.83,"HOPB"
2019-09-17,9.83,"HOPB"
2019-09-17,9.82,"HOPB"
2019-09-17,9.82,"HOPB"
2019-09-17,9.82,"HOPB"
2019-09-17,9.81,"HOPB"
2019-09-17,9.81,"HOPB"
2019-09-17,9.81,"HOPB"
2019-09-17,9.8,"HOPB"
2019-09-17,9.8,"HOPB"
2019-09-17,9.81,"HOPB"
2019-09-17,9.81,"HOPB"
2019-09-17,9.81,"HOPB"
2019-09-17,9.81,"HOPB"
2019-09-17,9.81,"HOPB"
2019-09-17,9.81,"HOPB"
2019-09-17,9.81,"HOPB"
2019-09-17,9.8,"HOPB"
2019-09-17,9.81,"HOPB"
2019-09-17,9.81,"HOPB"
2019-09-17,9.81,"HOPB"
2019-09-17,9.8,"HOPB"
2019-09-17,9.8,"HOPB"
2019-09-17,9.8,"HOPB"
2019-09-17,9.8,"HOPB"
2019-09-17,9.79,"HOPB"
2019-09-17,9.79,"HOPB"
2019-09-17,9.79,"HOPB"
2019-09-23,9.12,"HOPB"
2019-09-23,9.12,"HOPB"
2019-09-23,9.11,"HOPB"
2019-09-23,9.11,"HOPB"
2019-09-23,9.1,"HOPB"
2019-09-23,9.11,"HOPB"
2019-09-23,9.11,"HOPB"
2019-09-23,9.11,"HOPB"
2019-09-23,9.11,"HOPB"
2019-09-23,9.09,"HOPB"
2019-09-23,9.09,"HOPB"
2019-09-23,9.07,"HOPB"
2019-09-23,9.06,"HOPB"
2019-09-23,9.06,"HOPB"
2019-09-23,9.07,"HOPB"
2019-09-23,9.08,"HOPB"
2019-09-23,9.08,"HOPB"
2019-09-23,9.07,"HOPB"
2019-09-23,9.07,"HOPB"
2019-09-23,9.07,"HOPB"
2019-09-23,9.05,"HOPB"
2019-09-23,9.04,"HOPB"
2019-09-23,9.02,"HOPB"
2019-09-23,9.02,"HOPB"
2019-09-23,9.02,"HOPB"
2019-09-23,9.03,"HOPB"
2019-09-23,9.03,"HOPB"
2019-09-23,9.02,"HOPB"
2019-09-23,9.02,"HOPB"
2019-09-23,9.02,"HOPB"
2019-09-23,9.02,"HOPB"
2019-09-23,9.02,"HOPB"
2019-09-23,9.02,"HOPB"
2019-09-23,9.02,"HOPB"
2019-09-23,9.02,"HOPB"
2019-09-23,9.01,"HOPB"
2019-09-23,9.01,"HOPB"
2019-09-23,8.99,"HOPB"
2019-09-23,8.99,"HOPB"
2019-09-23,8.99,"HOPB"
2019-09-23,8.99,"HOPB"
2019-09-23,9,"HOPB"
2019-09-23,8.99,"HOPB"
2019-09-23,8.98,"HOPB"
2019-09-23,8.98,"HOPB"
2019-09-23,8.98,"HOPB"
2019-09-23,8.98,"HOPB"
2019-09-23,8.96,"HOPB"
2019-09-23,8.96,"HOPB"
2019-09-23,8.96,"HOPB"
2019-09-23,8.96,"HOPB"
2019-09-23,8.96,"HOPB"
2019-09-23,8.95,"HOPB"
2019-09-23,8.95,"HOPB"
2019-09-23,8.94,"HOPB"
2019-09-23,8.93,"HOPB"
2019-09-23,8.93,"HOPB"
2019-09-23,8.92,"HOPB"
2019-09-23,8.92,"HOPB"
2019-09-23,8.92,"HOPB"
2019-09-23,8.92,"HOPB"
2019-09-24,9.15,"HOPB"
2019-09-24,9.16,"HOPB"
2019-09-24,9.15,"HOPB"
2019-09-24,9.15,"HOPB"
2019-09-24,9.14,"HOPB"
2019-09-24,9.14,"HOPB"
2019-09-24,9.13,"HOPB"
2019-09-24,9.12,"HOPB"
2019-09-24,9.12,"HOPB"
2019-09-24,9.11,"HOPB"
2019-09-24,9.1,"HOPB"
2019-09-24,9.1,"HOPB"
2019-09-24,9.09,"HOPB"
2019-09-24,9.09,"HOPB"
2019-09-24,9.08,"HOPB"
2019-09-24,9.08,"HOPB"
2019-09-24,9.07,"HOPB"
2019-09-24,9.07,"HOPB"
2019-09-24,9.07,"HOPB"
2019-09-24,9.07,"HOPB"
2019-09-24,9.06,"HOPB"
2019-09-24,9.06,"HOPB"
2019-09-24,9.05,"HOPB"
2019-09-24,9.05,"HOPB"
2019-09-24,9.05,"HOPB"
2019-09-24,9.05,"HOPB"
2019-09-24,9.05,"HOPB"
2019-09-24,9.06,"HOPB"
2019-09-24,9.06,"HOPB"
2019-09-24,9.04,"HOPB"
2019-09-24,9.04,"HOPB"
2019-09-24,9.07,"HOPB"
2019-09-24,9.09,"HOPB"
2019-09-24,9.09,"HOPB"
2019-09-24,9.11,"HOPB"
2019-09-24,9.11,"HOPB"
2019-09-24,9.12,"HOPB"
2019-09-24,9.11,"HOPB"
2019-09-24,9.11,"HOPB"
2019-09-24,9.12,"HOPB"
2019-09-24,9.13,"HOPB"
2019-09-24,9.12,"HOPB"
2019-09-24,9.11,"HOPB"
2019-09-24,9.11,"HOPB"
2019-09-24,9.12,"HOPB"
2019-09-24,9.12,"HOPB"
2019-09-24,9.13,"HOPB"
2019-09-24,9.13,"HOPB"
2019-09-24,9.13,"HOPB"
2019-09-24,9.13,"HOPB"
2019-09-24,9.13,"HOPB"
2019-09-24,9.13,"HOPB"
2019-09-24,9.13,"HOPB"
2019-09-24,9.13,"HOPB"
2019-09-24,9.13,"HOPB"
2019-09-24,9.13,"HOPB"
2019-09-24,9.15,"HOPB"
2019-09-24,9.15,"HOPB"
2019-09-24,9.15,"HOPB"
2019-09-24,9.14,"HOPB"
2019-09-24,9.13,"HOPB"
2019-09-30,10.14,"HOPB"
2019-09-30,10.14,"HOPB"
2019-09-30,10.14,"HOPB"
2019-09-30,10.13,"HOPB"
2019-09-30,10.13,"HOPB"
2019-09-30,10.11,"HOPB"
2019-09-30,10.11,"HOPB"
2019-09-30,10.11,"HOPB"
2019-09-30,10.11,"HOPB"
2019-09-30,10.11,"HOPB"
2019-09-30,10.12,"HOPB"
2019-09-30,10.11,"HOPB"
