"domainID","siteID","horizontalPosition","verticalPosition","startDateTime","endDateTime","wTemp","date","time"
"D01","HOPB","102","100",2019-09-26 17:40:00,2019-09-26 17:45:00,NA,2019-09-26,"17:40:00"
"D01","HOPB","102","100",2019-09-26 17:45:00,2019-09-26 17:50:00,NA,2019-09-26,"17:45:00"
"D01","HOPB","102","100",2019-09-26 17:50:00,2019-09-26 17:55:00,NA,2019-09-26,"17:50:00"
"D01","HOPB","102","100",2019-09-26 17:55:00,2019-09-26 18:00:00,NA,2019-09-26,"17:55:00"
"D01","HOPB","102","100",2019-09-26 18:00:00,2019-09-26 18:05:00,NA,2019-09-26,"18:00:00"
"D01","HOPB","102","100",2019-09-26 18:05:00,2019-09-26 18:10:00,NA,2019-09-26,"18:05:00"
"D01","HOPB","102","100",2019-09-26 18:10:00,2019-09-26 18:15:00,NA,2019-09-26,"18:10:00"
"D01","HOPB","102","100",2019-09-26 18:15:00,2019-09-26 18:20:00,NA,2019-09-26,"18:15:00"
"D01","HOPB","102","100",2019-09-26 18:20:00,2019-09-26 18:25:00,NA,2019-09-26,"18:20:00"
"D01","HOPB","102","100",2019-09-26 18:25:00,2019-09-26 18:30:00,NA,2019-09-26,"18:25:00"
"D01","HOPB","102","100",2019-09-26 18:30:00,2019-09-26 18:35:00,NA,2019-09-26,"18:30:00"
"D01","HOPB","102","100",2019-09-30 17:30:00,2019-09-30 17:35:00,13.622,2019-09-30,"17:30:00"
"D01","HOPB","102","100",2019-09-30 17:35:00,2019-09-30 17:40:00,13.704,2019-09-30,"17:35:00"
"D01","HOPB","102","100",2019-09-30 17:40:00,2019-09-30 17:45:00,13.767,2019-09-30,"17:40:00"
"D01","HOPB","102","100",2019-09-30 17:45:00,2019-09-30 17:50:00,13.771,2019-09-30,"17:45:00"
"D01","HOPB","102","100",2019-09-30 17:50:00,2019-09-30 17:55:00,13.866,2019-09-30,"17:50:00"
"D01","HOPB","102","100",2019-09-30 17:55:00,2019-09-30 18:00:00,13.955,2019-09-30,"17:55:00"
"D01","HOPB","102","100",2019-09-30 18:00:00,2019-09-30 18:05:00,14.042,2019-09-30,"18:00:00"
"D01","HOPB","102","100",2019-09-30 18:05:00,2019-09-30 18:10:00,14.091,2019-09-30,"18:05:00"
"D01","HOPB","102","100",2019-09-30 18:10:00,2019-09-30 18:15:00,14.198,2019-09-30,"18:10:00"
"D01","HOPB","102","100",2019-09-30 18:15:00,2019-09-30 18:20:00,14.235,2019-09-30,"18:15:00"
"D01","HOPB","102","100",2019-09-30 18:20:00,2019-09-30 18:25:00,14.252,2019-09-30,"18:20:00"
"D01","HOPB","102","100",2019-09-30 18:25:00,2019-09-30 18:30:00,14.309,2019-09-30,"18:25:00"
"D01","HOPB","102","100",2019-09-30 18:30:00,2019-09-30 18:35:00,14.376,2019-09-30,"18:30:00"
"D01","HOPB","111","100",2019-09-16 17:30:00,2019-09-16 17:35:00,14.987,2019-09-16,"17:30:00"
"D01","HOPB","111","100",2019-09-16 17:35:00,2019-09-16 17:40:00,15.028,2019-09-16,"17:35:00"
"D01","HOPB","111","100",2019-09-16 17:40:00,2019-09-16 17:45:00,15.066,2019-09-16,"17:40:00"
"D01","HOPB","111","100",2019-09-16 17:45:00,2019-09-16 17:50:00,15.099,2019-09-16,"17:45:00"
"D01","HOPB","111","100",2019-09-16 17:50:00,2019-09-16 17:55:00,15.129,2019-09-16,"17:50:00"
"D01","HOPB","111","100",2019-09-16 17:55:00,2019-09-16 18:00:00,15.146,2019-09-16,"17:55:00"
"D01","HOPB","111","100",2019-09-16 18:00:00,2019-09-16 18:05:00,15.164,2019-09-16,"18:00:00"
"D01","HOPB","111","100",2019-09-16 18:05:00,2019-09-16 18:10:00,15.171,2019-09-16,"18:05:00"
"D01","HOPB","111","100",2019-09-16 18:10:00,2019-09-16 18:15:00,15.174,2019-09-16,"18:10:00"
"D01","HOPB","111","100",2019-09-16 18:15:00,2019-09-16 18:20:00,15.169,2019-09-16,"18:15:00"
"D01","HOPB","111","100",2019-09-16 18:20:00,2019-09-16 18:25:00,15.156,2019-09-16,"18:20:00"
"D01","HOPB","111","100",2019-09-16 18:25:00,2019-09-16 18:30:00,15.143,2019-09-16,"18:25:00"
"D01","HOPB","111","100",2019-09-16 18:30:00,2019-09-16 18:35:00,15.126,2019-09-16,"18:30:00"
"D01","HOPB","111","100",2019-09-17 17:30:00,2019-09-17 17:35:00,13.356,2019-09-17,"17:30:00"
"D01","HOPB","111","100",2019-09-17 17:35:00,2019-09-17 17:40:00,13.445,2019-09-17,"17:35:00"
"D01","HOPB","111","100",2019-09-17 17:40:00,2019-09-17 17:45:00,13.523,2019-09-17,"17:40:00"
"D01","HOPB","111","100",2019-09-17 17:45:00,2019-09-17 17:50:00,13.566,2019-09-17,"17:45:00"
"D01","HOPB","111","100",2019-09-17 17:50:00,2019-09-17 17:55:00,13.583,2019-09-17,"17:50:00"
"D01","HOPB","111","100",2019-09-17 17:55:00,2019-09-17 18:00:00,13.63,2019-09-17,"17:55:00"
"D01","HOPB","111","100",2019-09-17 18:00:00,2019-09-17 18:05:00,13.685,2019-09-17,"18:00:00"
"D01","HOPB","111","100",2019-09-17 18:05:00,2019-09-17 18:10:00,13.72,2019-09-17,"18:05:00"
"D01","HOPB","111","100",2019-09-17 18:10:00,2019-09-17 18:15:00,13.769,2019-09-17,"18:10:00"
"D01","HOPB","111","100",2019-09-17 18:15:00,2019-09-17 18:20:00,13.808,2019-09-17,"18:15:00"
"D01","HOPB","111","100",2019-09-17 18:20:00,2019-09-17 18:25:00,13.85,2019-09-17,"18:20:00"
"D01","HOPB","111","100",2019-09-17 18:25:00,2019-09-17 18:30:00,13.874,2019-09-17,"18:25:00"
"D01","HOPB","111","100",2019-09-17 18:30:00,2019-09-17 18:35:00,13.897,2019-09-17,"18:30:00"
