"","siteID","domainID","namedLocation","decimalLatitude","decimalLongitude","elevation","sampleID","eventID","date","year","habitatType","samplerType","benthicArea"
"37","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20171003.SURBER.1.DNA","HOPB.20171003",2017-10-03,2017,"riffle","surber",0.093
"38","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20171003.SURBER.3.DNA","HOPB.20171003",2017-10-03,2017,"riffle","surber",0.093
"39","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20171003.SURBER.2.DNA","HOPB.20171003",2017-10-03,2017,"riffle","surber",0.093
"40","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20180411.SURBER.3","HOPB.20180411",2018-04-11,2018,"riffle","surber",0.093
"41","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20180411.SURBER.2","HOPB.20180411",2018-04-11,2018,"riffle","surber",0.093
"42","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20180411.CORE.3","HOPB.20180411",2018-04-11,2018,"pool","core",0.006
"43","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20180411.CORE.2","HOPB.20180411",2018-04-11,2018,"pool","core",0.006
"44","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20180411.SURBER.1","HOPB.20180411",2018-04-11,2018,"riffle","surber",0.093
"45","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20180411.SURBER.5","HOPB.20180411",2018-04-11,2018,"riffle","surber",0.093
"46","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20180411.SURBER.4","HOPB.20180411",2018-04-11,2018,"riffle","surber",0.093
"47","HOPB","D01","HOPB.AOS.reach",42.471941,-72.329526,203.4,"HOPB.20180411.CORE.1","HOPB.20180411",2018-04-11,2018,"pool","core",0.006
