"domainID","siteID","horizontalPosition","date","mean.parws","median.parws"
"D01","HOPB","101",2017-10-10,49.45525,-0.165
"D01","HOPB","101",2017-10-11,48.3028194444444,-0.19
"D01","HOPB","101",2017-10-12,43.8438125,-0.175
"D01","HOPB","101",2017-10-13,48.182,-0.06
"D01","HOPB","101",2017-10-14,57.0143472222222,-0.08
"D01","HOPB","101",2017-10-15,50.0165694444444,-0.09
"D01","HOPB","101",2017-10-16,45.5023055555556,-0.075
"D01","HOPB","101",2017-10-17,57.8377569444444,-0.03
"D01","HOPB","101",2017-10-18,55.8013263888889,-0.04
"D01","HOPB","101",2017-10-19,57.4625208333333,-0.06
"D01","HOPB","101",2017-10-20,53.1362847222222,-0.07
"D01","HOPB","101",2017-10-21,52.7051597222222,-0.06
"D01","HOPB","101",2017-10-22,49.4568055555556,-0.04
"D01","HOPB","101",2017-10-23,60.6900277777778,-0.05
"D01","HOPB","101",2017-10-24,32.683375,-0.06
"D01","HOPB","101",2017-10-25,35.7199305555556,-0.1
"D01","HOPB","101",2017-10-26,31.3818888888889,-0.14
"D01","HOPB","101",2017-10-27,56.1802916666667,-0.04
"D01","HOPB","101",2017-10-28,62.4115277777778,-0.01
"D01","HOPB","101",2017-10-29,7.98673611111111,-0.06
"D01","HOPB","101",2017-10-30,48.7230138888889,-0.13
"D01","HOPB","101",2017-10-31,57.0078194444444,-0.22
"D01","HOPB","101",2017-11-01,37.7032430555556,-0.22
"D01","HOPB","101",2017-11-02,39.5906944444444,-0.22
"D01","HOPB","101",2017-11-03,43.6194027777778,-0.22
"D01","HOPB","101",2017-11-04,57.0416458333333,-0.2
"D01","HOPB","101",2017-11-05,28.1130416666667,-0.2
"D01","HOPB","101",2017-11-06,18.402375,-0.22
"D01","HOPB","101",2017-11-07,42.6312916666667,-0.22
"D01","HOPB","101",2017-11-08,55.6620416666667,-0.21
"D01","HOPB","101",2017-11-09,56.4335208333333,-0.05
"D01","HOPB","101",2017-11-10,55.3465416666667,-0.05
"D01","HOPB","101",2017-11-11,53.9889824561403,-0.04
"D01","HOPB","101",2017-11-12,53.0454861111111,-0.08
"D01","HOPB","101",2017-11-13,27.4481944444444,-0.08
"D01","HOPB","101",2017-11-14,26.1506736111111,-0.11
"D01","HOPB","101",2017-11-15,55.3069375,-0.1
"D01","HOPB","101",2017-11-16,24.0615972222222,-0.1
"D01","HOPB","101",2017-11-17,45.5564444444444,-0.13
"D01","HOPB","101",2017-11-18,39.1614791666667,-0.09
"D01","HOPB","101",2017-11-19,36.0895277777778,-0.13
"D01","HOPB","101",2017-11-20,30.7514789272031,-0.11
"D01","HOPB","101",2017-11-21,44.4642708333333,-0.06
"D01","HOPB","101",2017-11-22,13.0473055555556,-0.09
"D01","HOPB","101",2017-11-23,50.1567986111111,-0.07
"D01","HOPB","101",2017-11-24,43.4144375,-0.06
"D01","HOPB","101",2017-11-25,42.5625625,-0.09
"D01","HOPB","101",2017-11-26,43.7044097222222,-0.12
"D01","HOPB","101",2017-11-27,36.6116736111111,-0.12
"D01","HOPB","101",2017-11-28,41.584625,-0.09
"D01","HOPB","101",2017-11-29,45.2822708333333,-0.11
"D01","HOPB","101",2017-11-30,45.962875,-0.09
"D01","HOPB","101",2017-12-01,30.9971736111111,-0.12
"D01","HOPB","101",2017-12-02,47.1686805555556,-0.11
"D01","HOPB","101",2017-12-03,31.8013541666667,-0.11
"D01","HOPB","101",2017-12-04,44.1844652777778,-0.12
"D01","HOPB","101",2017-12-05,6.97597916666667,-0.13
"D01","HOPB","101",2017-12-06,35.8085416666667,-0.16
"D01","HOPB","101",2017-12-07,27.3220363062352,-0.13
"D01","HOPB","101",2017-12-08,47.6834930555556,0.11
"D01","HOPB","101",2017-12-09,11.7736319444444,0.1
"D01","HOPB","101",2017-12-10,8.48970833333333,0.1
"D01","HOPB","101",2017-12-11,22.7658402777778,0.05
"D01","HOPB","101",2017-12-12,4.71761805555556,0.05
"D01","HOPB","101",2017-12-13,35.4804444444444,0
"D01","HOPB","101",2017-12-14,42.5771944444444,0.11
"D01","HOPB","101",2017-12-15,35.7504375,0.05
"D01","HOPB","101",2017-12-16,37.8904027777778,0.07
"D01","HOPB","101",2017-12-17,41.4575208333333,0
"D01","HOPB","101",2017-12-18,21.2949930555556,0.05
"D01","HOPB","101",2017-12-19,32.5455902777778,-0.01
"D01","HOPB","101",2017-12-20,30.9817530163236,0.04
"D01","HOPB","101",2017-12-21,39.1145555555556,0.05
"D01","HOPB","101",2017-12-22,12.2405555555556,0.04
"D01","HOPB","101",2017-12-23,4.45008333333333,0.025
"D01","HOPB","101",2017-12-24,36.9897013888889,-0.08
"D01","HOPB","101",2017-12-25,5.41085416666667,-0.04
"D01","HOPB","101",2017-12-26,9.28404166666667,0.06
"D01","HOPB","101",2017-12-27,14.1906736111111,0.025
"D01","HOPB","101",2017-12-28,19.1171041666667,0.01
"D01","HOPB","101",2017-12-29,43.2550416666667,-0.01
"D01","HOPB","101",2017-12-30,24.7763958333333,-0.07
"D01","HOPB","101",2017-12-31,22.9859236111111,-0.07
"D01","HOPB","101",2018-01-01,27.0817013888889,-0.04
"D01","HOPB","101",2018-01-02,45.6101527777778,-0.05
"D01","HOPB","101",2018-01-03,45.7233194444444,-0.06
"D01","HOPB","101",2018-01-04,7.02340277777778,-0.06
"D01","HOPB","101",2018-01-05,45.6231875,-0.06
"D01","HOPB","101",2018-01-06,47.7145138888889,-0.04
"D01","HOPB","101",2018-01-07,46.6670347222222,-0.05
"D01","HOPB","101",2018-01-08,45.3018611111111,-0.09
"D01","HOPB","101",2018-01-09,44.5742638888889,-0.06
"D01","HOPB","101",2018-01-10,45.7223125,-0.06
"D01","HOPB","101",2018-01-11,38.4100902777778,-0.09
"D01","HOPB","101",2018-01-12,13.618125,-0.09
"D01","HOPB","101",2018-01-13,47.1103125,-0.24
"D01","HOPB","101",2018-01-14,47.2650972222222,-0.21
"D01","HOPB","101",2018-01-15,40.0459583333333,-0.18
"D01","HOPB","101",2018-01-16,37.5468055555556,-0.19
"D01","HOPB","101",2018-01-17,5.08532638888889,-0.19
"D01","HOPB","101",2018-01-18,20.1342430555556,-0.18
"D01","HOPB","101",2018-01-19,27.7327986111111,-0.19
"D01","HOPB","101",2018-01-20,44.71825,-0.23
"D01","HOPB","101",2018-01-21,57.9547083333333,-0.23
"D01","HOPB","101",2018-01-22,4.48513255567338,-0.24
"D01","HOPB","101",2018-01-23,NA,NA
"D01","HOPB","101",2018-01-24,NA,NA
"D01","HOPB","101",2018-01-25,NA,NA
"D01","HOPB","101",2018-01-26,NA,NA
"D01","HOPB","101",2018-01-27,NA,NA
"D01","HOPB","101",2018-01-28,NA,NA
"D01","HOPB","101",2018-01-29,NA,NA
"D01","HOPB","101",2018-01-30,NA,NA
"D01","HOPB","101",2018-01-31,NA,NA
"D01","HOPB","101",2018-02-01,NA,NA
"D01","HOPB","101",2018-02-02,NA,NA
"D01","HOPB","101",2018-02-03,NA,NA
"D01","HOPB","101",2018-02-04,NA,NA
"D01","HOPB","101",2018-02-05,NA,NA
"D01","HOPB","101",2018-02-06,NA,NA
"D01","HOPB","101",2018-02-07,NA,NA
"D01","HOPB","101",2018-02-08,NA,NA
"D01","HOPB","101",2018-02-09,NA,NA
"D01","HOPB","101",2018-02-10,NA,NA
"D01","HOPB","101",2018-02-11,NA,NA
"D01","HOPB","101",2018-02-12,NA,NA
"D01","HOPB","101",2018-02-13,NA,NA
"D01","HOPB","101",2018-02-14,NA,NA
"D01","HOPB","101",2018-02-15,NA,NA
"D01","HOPB","101",2018-02-16,NA,NA
"D01","HOPB","101",2018-02-17,NA,NA
"D01","HOPB","101",2018-02-18,NA,NA
"D01","HOPB","101",2018-02-19,NA,NA
"D01","HOPB","101",2018-02-20,NA,NA
"D01","HOPB","101",2018-02-21,NA,NA
"D01","HOPB","101",2018-02-22,NA,NA
"D01","HOPB","101",2018-02-23,NA,NA
"D01","HOPB","101",2018-02-24,NA,NA
"D01","HOPB","101",2018-02-25,NA,NA
"D01","HOPB","101",2018-02-26,NA,NA
"D01","HOPB","101",2018-02-27,NA,NA
"D01","HOPB","101",2018-02-28,NA,NA
"D01","HOPB","101",2018-03-01,NA,NA
"D01","HOPB","101",2018-03-02,NA,NA
"D01","HOPB","101",2018-03-03,NA,NA
"D01","HOPB","101",2018-03-04,NA,NA
"D01","HOPB","101",2018-03-05,NA,NA
"D01","HOPB","101",2018-03-06,NA,NA
"D01","HOPB","101",2018-03-07,NA,NA
"D01","HOPB","101",2018-03-08,NA,NA
"D01","HOPB","101",2018-03-09,NA,NA
"D01","HOPB","101",2018-03-10,NA,NA
"D01","HOPB","101",2018-03-11,NA,NA
"D01","HOPB","101",2018-03-12,NA,NA
"D01","HOPB","101",2018-03-13,NA,NA
"D01","HOPB","101",2018-03-14,NA,NA
"D01","HOPB","101",2018-03-15,NA,NA
"D01","HOPB","101",2018-03-16,NA,NA
"D01","HOPB","101",2018-03-17,NA,NA
"D01","HOPB","101",2018-03-18,NA,NA
"D01","HOPB","101",2018-03-19,NA,NA
"D01","HOPB","101",2018-03-20,NA,NA
"D01","HOPB","101",2018-03-21,NA,NA
"D01","HOPB","101",2018-03-22,NA,NA
"D01","HOPB","101",2018-03-23,NA,NA
"D01","HOPB","101",2018-03-24,NA,NA
"D01","HOPB","101",2018-03-25,NA,NA
"D01","HOPB","101",2018-03-26,NA,NA
"D01","HOPB","101",2018-03-27,NA,NA
"D01","HOPB","101",2018-03-28,NA,NA
"D01","HOPB","101",2018-03-29,NA,NA
"D01","HOPB","101",2018-03-30,NA,NA
"D01","HOPB","101",2018-03-31,NA,NA
"D01","HOPB","101",2018-04-01,NA,NA
"D01","HOPB","101",2018-04-02,NA,NA
"D01","HOPB","101",2018-04-03,NA,NA
"D01","HOPB","101",2018-04-04,NA,NA
"D01","HOPB","101",2018-04-05,NA,NA
"D01","HOPB","101",2018-04-06,NA,NA
"D01","HOPB","101",2018-04-07,NA,NA
"D01","HOPB","101",2018-04-08,NA,NA
"D01","HOPB","101",2018-04-09,NA,NA
"D01","HOPB","101",2018-04-10,NA,NA
"D01","HOPB","101",2018-04-11,NA,NA
"D01","HOPB","101",2018-04-12,NA,NA
"D01","HOPB","101",2018-04-13,NA,NA
"D01","HOPB","101",2018-04-14,NA,NA
"D01","HOPB","101",2018-04-15,NA,NA
"D01","HOPB","101",2018-04-16,NA,NA
"D01","HOPB","101",2018-04-17,NA,NA
"D01","HOPB","101",2018-04-18,NA,NA
"D01","HOPB","101",2018-04-19,NA,NA
"D01","HOPB","101",2018-04-20,NA,NA
"D01","HOPB","101",2018-04-21,NA,NA
"D01","HOPB","101",2018-04-22,NA,NA
"D01","HOPB","101",2018-04-23,NA,NA
"D01","HOPB","101",2018-04-24,NA,NA
"D01","HOPB","101",2018-04-25,NA,NA
"D01","HOPB","101",2018-04-26,NA,NA
"D01","HOPB","101",2018-04-27,NA,NA
"D01","HOPB","101",2018-04-28,NA,NA
"D01","HOPB","101",2018-04-29,NA,NA
"D01","HOPB","101",2018-04-30,NA,NA
"D01","HOPB","101",2018-05-01,NA,NA
"D01","HOPB","101",2018-05-02,NA,NA
"D01","HOPB","101",2018-05-03,NA,NA
"D01","HOPB","101",2018-05-04,NA,NA
"D01","HOPB","101",2018-05-05,NA,NA
"D01","HOPB","101",2018-05-06,NA,NA
"D01","HOPB","101",2018-05-07,NA,NA
"D01","HOPB","101",2018-05-08,NA,NA
"D01","HOPB","101",2018-05-09,NA,NA
"D01","HOPB","101",2018-05-10,NA,NA
"D01","HOPB","101",2018-05-11,NA,NA
"D01","HOPB","101",2018-05-12,NA,NA
"D01","HOPB","101",2018-05-13,NA,NA
"D01","HOPB","101",2018-05-14,NA,NA
"D01","HOPB","101",2018-05-15,NA,NA
"D01","HOPB","101",2018-05-16,NA,NA
"D01","HOPB","101",2018-05-17,NA,NA
"D01","HOPB","101",2018-05-18,NA,NA
"D01","HOPB","101",2018-05-19,NA,NA
"D01","HOPB","101",2018-05-20,NA,NA
"D01","HOPB","101",2018-05-21,NA,NA
"D01","HOPB","101",2018-05-22,NA,NA
"D01","HOPB","101",2018-05-23,NA,NA
"D01","HOPB","101",2018-05-24,NA,NA
"D01","HOPB","101",2018-05-25,NA,NA
"D01","HOPB","101",2018-05-26,NA,NA
"D01","HOPB","101",2018-05-27,NA,NA
"D01","HOPB","101",2018-05-28,NA,NA
"D01","HOPB","101",2018-05-29,NA,NA
"D01","HOPB","101",2018-05-30,NA,NA
"D01","HOPB","101",2018-05-31,NA,NA
"D01","HOPB","101",2018-06-01,NA,NA
"D01","HOPB","101",2018-06-02,NA,NA
"D01","HOPB","101",2018-06-03,NA,NA
"D01","HOPB","101",2018-06-04,NA,NA
"D01","HOPB","101",2018-06-05,NA,NA
"D01","HOPB","101",2018-06-06,NA,NA
"D01","HOPB","101",2018-06-07,NA,NA
"D01","HOPB","101",2018-06-08,NA,NA
"D01","HOPB","101",2018-06-09,NA,NA
"D01","HOPB","101",2018-06-10,NA,NA
"D01","HOPB","101",2018-06-11,NA,NA
"D01","HOPB","101",2018-06-12,NA,NA
"D01","HOPB","101",2018-06-13,NA,NA
"D01","HOPB","101",2018-06-14,NA,NA
"D01","HOPB","101",2018-06-15,NA,NA
"D01","HOPB","101",2018-06-16,NA,NA
"D01","HOPB","101",2018-06-17,NA,NA
"D01","HOPB","101",2018-06-18,NA,NA
"D01","HOPB","101",2018-06-19,NA,NA
"D01","HOPB","101",2018-06-20,NA,NA
"D01","HOPB","101",2018-06-21,NA,NA
"D01","HOPB","101",2018-06-22,NA,NA
"D01","HOPB","101",2018-06-23,NA,NA
"D01","HOPB","101",2018-06-24,NA,NA
"D01","HOPB","101",2018-06-25,NA,NA
"D01","HOPB","101",2018-06-26,NA,NA
"D01","HOPB","101",2018-06-27,NA,NA
"D01","HOPB","101",2018-06-28,NA,NA
"D01","HOPB","101",2018-06-29,NA,NA
"D01","HOPB","101",2018-06-30,NA,NA
"D01","HOPB","101",2018-07-01,NA,NA
"D01","HOPB","101",2018-07-02,NA,NA
"D01","HOPB","101",2018-07-03,NA,NA
"D01","HOPB","101",2018-07-04,NA,NA
"D01","HOPB","101",2018-07-05,NA,NA
"D01","HOPB","101",2018-07-06,NA,NA
"D01","HOPB","101",2018-07-07,NA,NA
"D01","HOPB","101",2018-07-08,NA,NA
"D01","HOPB","101",2018-07-09,NA,NA
"D01","HOPB","101",2018-07-10,NA,NA
"D01","HOPB","101",2018-07-11,NA,NA
"D01","HOPB","101",2018-07-12,NA,NA
"D01","HOPB","101",2018-07-13,NA,NA
"D01","HOPB","101",2018-07-14,NA,NA
"D01","HOPB","101",2018-07-15,NA,NA
"D01","HOPB","101",2018-07-16,NA,NA
"D01","HOPB","101",2018-07-17,NA,NA
"D01","HOPB","101",2018-07-18,NA,NA
"D01","HOPB","101",2018-07-19,NA,NA
"D01","HOPB","101",2018-07-20,NA,NA
"D01","HOPB","101",2018-07-21,NA,NA
"D01","HOPB","101",2018-07-22,NA,NA
"D01","HOPB","101",2018-07-23,NA,NA
"D01","HOPB","101",2018-07-24,NA,NA
"D01","HOPB","101",2018-07-25,NA,NA
"D01","HOPB","101",2018-07-26,NA,NA
"D01","HOPB","101",2018-07-27,NA,NA
"D01","HOPB","101",2018-07-28,NA,NA
"D01","HOPB","101",2018-07-29,NA,NA
"D01","HOPB","101",2018-07-30,NA,NA
"D01","HOPB","101",2018-07-31,NA,NA
"D01","HOPB","101",2018-08-01,NA,NA
"D01","HOPB","101",2018-08-02,NA,NA
"D01","HOPB","101",2018-08-03,NA,NA
"D01","HOPB","101",2018-08-04,NA,NA
"D01","HOPB","101",2018-08-05,NA,NA
"D01","HOPB","101",2018-08-06,NA,NA
"D01","HOPB","101",2018-08-07,NA,NA
"D01","HOPB","101",2018-08-08,NA,NA
"D01","HOPB","101",2018-08-09,NA,NA
"D01","HOPB","101",2018-08-10,NA,NA
"D01","HOPB","101",2018-08-11,NA,NA
"D01","HOPB","101",2018-08-12,NA,NA
"D01","HOPB","101",2018-08-13,NA,NA
"D01","HOPB","101",2018-08-14,NA,NA
"D01","HOPB","101",2018-08-15,NA,NA
"D01","HOPB","101",2018-08-16,NA,NA
"D01","HOPB","101",2018-08-17,NA,NA
"D01","HOPB","101",2018-08-18,NA,NA
"D01","HOPB","101",2018-08-19,NA,NA
"D01","HOPB","101",2018-08-20,NA,NA
"D01","HOPB","101",2018-08-21,NA,NA
"D01","HOPB","101",2018-08-22,NA,NA
"D01","HOPB","101",2018-08-23,NA,NA
"D01","HOPB","101",2018-08-24,NA,NA
"D01","HOPB","101",2018-08-25,NA,NA
"D01","HOPB","101",2018-08-26,NA,NA
"D01","HOPB","101",2018-08-27,NA,NA
"D01","HOPB","101",2018-08-28,NA,NA
"D01","HOPB","101",2018-08-29,NA,NA
"D01","HOPB","101",2018-08-30,NA,NA
"D01","HOPB","101",2018-08-31,NA,NA
"D01","HOPB","101",2018-09-01,NA,NA
"D01","HOPB","101",2018-09-02,NA,NA
"D01","HOPB","101",2018-09-03,NA,NA
"D01","HOPB","101",2018-09-04,NA,NA
"D01","HOPB","101",2018-09-05,NA,NA
"D01","HOPB","101",2018-09-06,NA,NA
"D01","HOPB","101",2018-09-07,NA,NA
"D01","HOPB","101",2018-09-08,NA,NA
"D01","HOPB","101",2018-09-09,NA,NA
"D01","HOPB","101",2018-09-10,NA,NA
"D01","HOPB","101",2018-09-11,NA,NA
"D01","HOPB","101",2018-09-12,NA,NA
"D01","HOPB","101",2018-09-13,NA,NA
"D01","HOPB","101",2018-09-14,NA,NA
"D01","HOPB","101",2018-09-15,NA,NA
"D01","HOPB","101",2018-09-16,NA,NA
"D01","HOPB","101",2018-09-17,NA,NA
"D01","HOPB","101",2018-09-18,NA,NA
"D01","HOPB","101",2018-09-19,NA,NA
"D01","HOPB","101",2018-09-20,NA,NA
"D01","HOPB","101",2018-09-21,NA,NA
"D01","HOPB","101",2018-09-22,NA,NA
"D01","HOPB","101",2018-09-23,NA,NA
"D01","HOPB","101",2018-09-24,NA,NA
"D01","HOPB","101",2018-09-25,NA,NA
"D01","HOPB","101",2018-09-26,NA,NA
"D01","HOPB","101",2018-09-27,NA,NA
"D01","HOPB","101",2018-09-28,NA,NA
"D01","HOPB","101",2018-09-29,NA,NA
"D01","HOPB","101",2018-09-30,NA,NA
"D01","HOPB","101",2018-10-01,NA,NA
"D01","HOPB","101",2018-10-02,NA,NA
"D01","HOPB","101",2018-10-03,NA,NA
"D01","HOPB","101",2018-10-04,NA,NA
"D01","HOPB","101",2018-10-05,NA,NA
"D01","HOPB","101",2018-10-06,NA,NA
"D01","HOPB","101",2018-10-07,NA,NA
"D01","HOPB","101",2018-10-08,NA,NA
"D01","HOPB","101",2018-10-09,NA,NA
"D01","HOPB","101",2018-10-10,NA,NA
"D01","HOPB","101",2018-10-11,NA,NA
"D01","HOPB","101",2018-10-12,NA,NA
"D01","HOPB","101",2018-10-13,NA,NA
"D01","HOPB","101",2018-10-14,NA,NA
"D01","HOPB","101",2018-10-15,NA,NA
"D01","HOPB","101",2018-10-16,NA,NA
"D01","HOPB","101",2018-10-17,NA,NA
"D01","HOPB","101",2018-10-18,NA,NA
"D01","HOPB","101",2018-10-19,NA,NA
"D01","HOPB","101",2018-10-20,NA,NA
"D01","HOPB","101",2018-10-21,NA,NA
"D01","HOPB","101",2018-10-22,NA,NA
"D01","HOPB","101",2018-10-23,NA,NA
"D01","HOPB","101",2018-10-24,NA,NA
"D01","HOPB","101",2018-10-25,90.1477831325301,36.15
"D01","HOPB","101",2018-10-26,50.0899236111111,0.15
"D01","HOPB","101",2018-10-27,11.8242013888889,0.14
"D01","HOPB","101",2018-10-28,34.7711319444444,0.12
"D01","HOPB","101",2018-10-29,27.6947708333333,0.12
"D01","HOPB","101",2018-10-30,43.0777569444444,0.14
"D01","HOPB","101",2018-10-31,45.9289166666667,0.13
"D01","HOPB","101",2018-11-01,13.1561805555556,0.14
"D01","HOPB","101",2018-11-02,11.6991597222222,0.13
"D01","HOPB","101",2018-11-03,34.0058263888889,0.12
"D01","HOPB","101",2018-11-04,45.8369027777778,0.13
"D01","HOPB","101",2018-11-05,19.817375,0.14
"D01","HOPB","101",2018-11-06,18.4545902777778,0.11
"D01","HOPB","101",2018-11-07,37.0584500745156,0.13
"D01","HOPB","101",2018-11-08,48.3490416666667,0.15
"D01","HOPB","101",2018-11-09,28.7260208333333,0.14
"D01","HOPB","101",2018-11-10,55.9938472222222,0.12
